,review_body,review_date,hotelName,hotelUrl
0,Just to say this is really an excellent hotel and the staff is exceptional and professional staff all around. We booked in at 2 in the evening and everything was perfect. Excellent amenities. Shwarna and April Rose during breakfast very friendly and helpful - thank you so much.,"July 14, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
1,"Found this pub by chance, what a great place, food and drink excellent, great sports bar especially if you like your cricket, all the staff very friendly and helpful, highly recommend this to anybody coming to Dubai, gopi was very friendly","July 12, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
2,"House keeping is perfect , the rooms are always clean.Housekeeping by Geesarani, I recommend her is awesome. They are efficient, reliable, thoughtful. Am very happy with their service. I got a birthday cake from them, makes its felt like home.","July 9, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
3,"Although we had a few issues in terms of check out on the last day we cannot say our stay was bad. All staff were amazing and very helpful, especially the Sri lankan girl who served us girls for breakfast. She was very kind and hard working. She made our breakfast time enjoyable. Rest of the reception staff were amazing too and very helpful. Really made us enjoy our stay..and have plans to re visit and stay in this hotel soon again.","July 6, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
4,I was stayed over 3 night in room ( 730 ) my friend he ask the smoking room but when I enter the room I didn’t get any smoke smell that’s so nice and comfortable for me room is very clean All the staff very kindly and helpful. when I request something the housekeeper staff immediately come to give me that’s so great. Especially I remember the name ( Bishal ) from Housekeeping he is the one cleaning my room why I remember the housekeeper when we meet the corridor and in the room he is smiling and greeting room cleaning also like a professional he doing great job thank you so much ( Bishal ) hope to see you again.. Thanks ,"July 4, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
5,Room was a very good size and had all the need services including iron board with iron.It was not too far up in the Hotel with ease of elavators. Room was kept very need and tidy every day.Even the porters was villing to bring it to the room without any problem.,"July 2, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
6,Amazing hotel. Beautiful pool on the roof. 50% discounts on spa treatments. Enjoyable breakfast. Very clean and beautiful hotel. We were welcomed by FADY at reception who treated us like royalty. It was the greatest beginning to our Dubai stay. Our house keeping was done by Varun who was the friendliest soul ever. Our room was always left spotless for entire 6 day stay.Swarna was extremely friendly and served us during breakfast daily. Always a smile on her face. May served me at the pool bar and was very friendly. Our final night we spent at the cafe in the hotel and was served by Shubham and Mansi who were extremely friendly and helpful. They really made our last night memorable,"June 28, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
7,A really enjoyable stay at the hotel with great facilities and a nice rooftop swimming pool.The room was clean and well maintained with a large TV.The restaurant caters for many needs with a buffet breakfast and a tasty dinner menu with live singers every night.Overall an excellent service from all the staff members at the hotel especially Shubham and Saroj. The hotel is efficiently run with helpful staff who went out of their way.,"June 26, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
8,"House keeping is Awesome, specially a girl named GeeSarani. Rooms are spacious. Services are good, overall a nice hotel for stay. They also offer free shuttle service to dubai mall, kite beach, marcato mall and dubai outlet mall.","June 25, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
9,"Good ambience and food, cleanliness and very good service by the in-room dining, Zahoor Bhai rocks. Must go place is Purani dilli the hotel restaurant for food & live music. Pool side bar at the top gives a complete relaxation","June 23, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
